id,system,equipment,name,place,product,module,channel,crate,check,property,comment,adr,sign,YMIN,YMAX,WL,WH,AL,AH,format,unit,filter,node
FT_2F3,RSU_7,FT-2F3,Расход усредненных стоков,Трубопровод 80-085-07-PC01-NN,7-ШС1.1,AI101,1,3,,,,%ID5,,,,,,,,,,,"Узел приема и усреднения жидких отходов/E0.1,2"
FT_2F4,RSU_7,FT-2F4,Расход усредненных стоков,Трубопровод 80-085-02-PC01-NN,7-ШС1.1,AI101,2,3,,,,%ID7,,,,,,,,,м³/ч,,"Узел приема и усреднения жидких отходов/E0.1,2"
LT_2L9,RSU_7,LT-2L9,Уровень усредненных стоков,Емкость Е0/1,7-ШС1.1,AI101,3,3,,,,,,,,,,,,,,,
LT_2L10,RSU_7,LT-2L10,Уровень усредненных стоков,Емкость Е0/2,7-ШС1.1,AI101,4,3,,,,,,,,,,,,,,,
TT_2T1,RSU_7,TT-2T1,Температура усредненных стоков,Трубопровод 80-085-02-PC01-NN,7-ШС1.1,AI101,5,3,,,,%ID13,,,,,,,,,°С,,"Узел приема и усреднения жидких отходов/E0.1,2"
TT_2T6,RSU_7,TT-2T6,Температура усредненных стоков,Трубопровод 80-085-07-PC01-NN,7-ШС1.1,AI101,6,3,,,,%ID15,,,,,,,,,°С,,"Узел приема и усреднения жидких отходов/E0.1,2"
LT_2L1,RSU_7,LT-2L1,Уровень в межстеночном пространстве,Емкость Е1/1,7-ШС2.1,AI101,1,6,,,,%ID89,,,,,,,,,мм,,Узел реагентной обработки и осветления методом отстаивания/Модуль 1/ E1.1
LT_2L2,RSU_7,LT-2L2,Уровень 10% раствора коагулянта FeCl3,Емкость Е1/1,7-ШС2.1,AI101,2,6,,,,%ID91,,,,,,100,1480,,мм,,Узел реагентной обработки и осветления методом отстаивания/Модуль 1/ E1.1
LT_2L6,RSU_7,LT-2L6,Уровень 40% раствора едкого натра,Емкость Е2/1,7-ШС2.1,AI101,3,6,,,,%ID93,,,,,,,,,,,Узел реагентной обработки и осветления методом отстаивания/Модуль 1/ E2.1
LT_2L7,RSU_7,LT-2L7,"Уровень 0,1% раствора флокулянта",Емкость Е3/1,7-ШС2.1,AI101,4,6,,,,%ID95,,,,,,,,,,,Узел реагентной обработки и осветления методом отстаивания/Модуль 1/ E3.1
