id,system,equipment,name,place,product,module,channel,crate,check,adr,property,comment,node
ND1_1_sp_freq,RSU_7,НД1/1,НД1/1 Задание частоты,,7-ШС2.1,AO101,1,6,,%QD12,,,Узел реагентной обработки и осветления методом отстаивания/модуль 1/Е1.1
ND1_2_sp_freq,RSU_7,НД1/2,НД1/2 Задание частоты,,7-ШС2.1,AO101,2,6,,%QD13,,,Узел реагентной обработки и осветления методом отстаивания/модуль 1/Е1.1
ND2_1_sp_freq,RSU_7,НД2/1,НД2/1 Задание частоты,,7-ШС2.1,AO101,3,6,,%QD14,,,Узел реагентной обработки и осветления методом отстаивания/модуль 1/Е2.1
ND2_2_sp_freq,RSU_7,НД2/2,НД2/2 Задание частоты,,7-ШС2.1,AO101,4,6,,%QD15,,,Узел реагентной обработки и осветления методом отстаивания/модуль 1/Е2.1
ND3_3_sp_freq,RSU_7,НД3/3,НД3/3 Задание частоты,,7-ШС2.1,AO101,5,6,,%QD16,,,Узел реагентной обработки и осветления методом отстаивания/модуль 1/Е3.1
V_2vre13_control,RSU_7,2врэ13,TY2T8 Управление клапаном 2врэ13,,7-ШС2.1,AO101,6,6,,%QD17,,,Узел реагентной обработки и осветления методом отстаивания/модуль 1/Т1.1
ND3_1_sp_freq,RSU_7,НД3/1,НД3/1 Задание частоты,,7-ШС2.1,AO101,7,6,,,,,Узел реагентной обработки и осветления методом отстаивания/модуль 1/Е3.1
ND3_2_sp_freq,RSU_7,НД3/2,НД3/2 Задание частоты,,7-ШС2.1,AO101,8,6,,,,,Узел реагентной обработки и осветления методом отстаивания/модуль 1/Е3.1
ND8_1_sp_freq,RSU_7,Нд8/1,Нд8/1 Зад. частоты,,7-ШС3.1,AO101,1,11,,%QD49,,,Узел фильтров с зернистой загрузкой ФЗ 1/1-6/Е8.1
N10_1_sp_freq,RSU_7,Н10/1,Н10/1 Задание частоты,,7-ШС5.1,AO101,1,19,,%QD109,,,Узел ОММ 2.1/Е10.1
NM2_1_sp_freq,RSU_7,НM2/1,НM2/1 Задание частоты,,7-ШС5.1,AO101,2,19,,%QD110,,,Узел ОММ 2.1/Ем2.1
N31_2_sp_freq,RSU_7,НЗ1/2,НЗ1/2   Задание частоты,,7-ШС15.1,AO101,1,14,,%QD60,,,Узел ОММ 1.2
N32_2_sp_freq,RSU_7,НЗ2/2,НЗ2/2   Задание частоты,,7-ШС15.1,AO101,2,14,,%QD61,,,Узел ОММ 1.2
NM1_2_sp_freq,RSU_7,Нм1/2,Нм1/2   Задание частоты,,7-ШС15.1,AO101,3,14,,%QD62,,,Узел ОММ 1.2/Ем1.2
ND9_2_sp_freq,RSU_7,Нд9/2,Нд9/2   Задание частоты,,7-ШС15.1,AO101,4,14,,%QD63,,,Узел ОММ 1.2/Е9.2
N31_1_sp_freq,RSU_7,Н31/1,Н31/1 Задание частоты насоса Н31/1,,7-ШС4.1,AO101,1,8,,%QD30,,,Узел ОММ 1.1
N32_1_sp_freq,RSU_7,Н32/1,Н32/1 Задание частоты насоса Н32/1,,7-ШС4.1,AO101,2,8,,%QD31,,,Узел ОММ 1.1
NM1_1_sp_freq,RSU_7,Нм1/1,Нм1/1 Задание частоты насоса Нм1/1,,7-ШС4.1,AO101,3,8,,%QD32,,,Узел ОММ 1.1/Ем1.1
ND9_1_sp_freq,RSU_7,НД9/1,НД9/1 Задание частоты насоса НД9/1,,7-ШС4.1,AO101,4,8,,%QD33,,,Узел ОММ 1.1/Е9.1
N11_2_sp_freq,RSU_7,Н11/2,Н11/2 Задание частоты насоса Н11/2,,7-ШС6.1,AO101,1,10,,%QD40,,,Узел ОММ 3.1/Е11.2
NM3_1_sp_freq,RSU_7,Нм3/1,Нм3/1 Задание частоты насоса Нм3/1,,7-ШС6.1,AO101,2,10,,%QD41,,,Узел ОММ 3.1/Ем3.1
N12_1_sp_freq,RSU_7,Н12/1,Н12/1 Задание частоты насоса Н12/1,,7-ШС7.1,AO101,1,23,,%QD130,,,Узел ОММ 4.1/Е12.1
N12_2_sp_freq,RSU_7,Н12/2,Н12/2 Задание частоты насоса Н12/2,,7-ШС7.1,AO101,2,23,,%QD131,,,Узел ОММ 4.1/Е12.1
N13_1_sp_freq,RSU_7,Н13/1,Н13/1 Задание частоты насоса Н13/1,,7-ШС7.1,AO101,3,23,,%QD132,,,Узел ОММ 4.1/Е13.1
NM4_1_sp_freq,RSU_7,Нм4/1,Нм4/1 Задание частоты насоса Нм4/1,,7-ШС7.1,AO101,4,23,,%QD133,,,Узел ОММ 4.1/Ем4.1
ND17_1_sp_freq,RSU_7,НД17/1,НД17/1  Задание частоты насоса НД17/1,,7-ШС8.1,AO101,1,21,,%QD120,,,Узел окисления по методу Фентона (реактор Р1)/Е17.1
ND18_1_sp_freq,RSU_7,НД18/1,НД18/1  Задание частоты насоса НД18/1,,7-ШС8.1,AO101,2,21,,%QD121,,,Узел окисления по методу Фентона (реактор Р1)/Е18.1
ND19_1_sp_freq,RSU_7,НД19/1,НД19/1  Задание частоты насоса НД19/1,,7-ШС8.1,AO101,3,21,,%QD122,,,Узел окисления по методу Фентона (реактор Р1)/Е9.1
Nefd1_sp_freq,RSU_7,Нэфд1,Нэфд1   Задание частоты насосa Нэфд1,,7-ШС8.1,AO101,4,21,,%QD123,,,Узел окисления по методу Фентона (реактор Р1)/Нэфд1
V_8kre1_control,RSU_7,8крэ1,8крэ1 Управление,,7-ШС8.1,AO101,5,21,,%QD124,,,Узел окисления по методу Фентона (реактор Р1)/T3.1
N4_1_sp_freq,RSU_7,Н4/1,Н4/1  Задание частоты насоса Н4/1,,7-ШС9.1,AO101,1,24,,%QD140,,,Узел ОММ 5.1/ФМ6.1-2
NM6_1_sp_freq,RSU_7,Нм6/1,Нм6/1 Задание частоты насоса  Нм6/1,,7-ШС9.1,AO101,2,24,,%QD141,,,Узел ОММ 5.1/Ем6.1
ND26_1_sp_freq,RSU_7,НД26/1,НД26/1 Задание частоты насоса НД26/1,,7-ШС10.1,AO101,1,25,,%QD160,,,Узел сорбционной очистки в адсорберах I ступени. Узел ионного обмена (модуль 1)/Е26.1
N25_1_sp_freq,RSU_7,Н25/1,Н25/1 Задание частоты насоса Н25/1,,7-ШС10.1,AO101,2,25,,%QD161,,,Узел сорбционной очистки в адсорберах I ступени. Узел ионного обмена (модуль 1)/Е25.1
ND26_2_sp_freq,RSU_7,НД26/2,НД26/2 Задание частоты насоса НД26/2,,7-ШС10.1,AO101,3,25,,%QD162,,,Узел сорбционной очистки в адсорберах I ступени. Узел ионного обмена (модуль 2)/Е26.2
N27_1_sp_freq,RSU_7,Н27/1,Н27/1 Задание частоты насоса ,,7-ШС11.1,AO101,1,33,,%QD207,,,Узел сорбционной очистки в адсорберах II ступени. Узел обеззараживания путем ультрафиолетового облучения (модуль 1)/Е27.1
N28_1_sp_freq,RSU_7,Н28/1,Н28/1 Задание частоты,,7-ШС11.1,AO101,2,33,,,,,Узел сорбционной очистки в адсорберах II ступени. Узел обеззараживания путем ультрафиолетового облучения (модуль 1)/Е28.1
N28_2_sp_freq,RSU_7,Н28/2,Н28/2 Задание частоты,,7-ШС11.1,AO101,3,33,,,,,Узел сорбционной очистки в адсорберах II ступени. Узел обеззараживания путем ультрафиолетового облучения (модуль 1)/Е28.1
N28_3_sp_freq,RSU_7,Н28/3,Н28/3 Задание частоты,,7-ШС11.1,AO101,4,33,,,,,Узел сорбционной очистки в адсорберах II ступени. Узел обеззараживания путем ультрафиолетового облучения (модуль 1)/Е28.1
Np1_sp_freq,RSU_7,Нп1,Нп1 Задание частоты,,7-ШС11.1,AO101,5,33,,,,,
N27_1_sp_freq,RSU_7,Н27/1,Н27/1 Задание частоты,,7-ШС11.1,AO101,6,33,,,,,
N28_7_sp_freq,RSU_7,Н28/7,Н28/7 Задание частоты,,7-ШС11.1,AO101,7,33,,,,,
ND1_3_sp_freq,RSU_7,НД1/3,Задание частоты насоса НД1/3,,7-ШС13.1,AO101,1,5,,%QD3,,,Узел реагентной обработки и осветления методом отстаивания (модуль 2)/Е1.2
ND1_4_sp_freq,RSU_7,НД1/4,Задание частоты насоса НД1/4,,7-ШС13.1,AO101,2,5,,%QD4,,,Узел реагентной обработки и осветления методом отстаивания (модуль 2)/Е1.2
ND2_3_sp_freq,RSU_7,НД2/3,Задание частоты насоса НД2/3,,7-ШС13.1,AO101,3,5,,%QD5,,,Узел реагентной обработки и осветления методом отстаивания (модуль 2)/Е2.2
ND2_4_sp_freq,RSU_7,НД2/4,Задание частоты насоса НД2/4,,7-ШС13.1,AO101,4,5,,%QD6,,,Узел реагентной обработки и осветления методом отстаивания (модуль 2)/Е2.2
ND3_6_sp_freq,RSU_7,НД3/6,Задание частоты насоса НД3/6,,7-ШС13.1,AO101,5,5,,%QD7,,,Узел реагентной обработки и осветления методом отстаивания (модуль 2)/Е3.2
V_13vre13_control,RSU_7,13врэ13,Управление 13врэ13,,7-ШС13.1,AO101,6,5,,%QD8,,,Узел реагентной обработки и осветления методом отстаивания (модуль 2)/Т1.2
ND3_4_sp_freq,RSU_7,НД3/4,Задание частоты насоса НД3/4,,7-ШС13.1,AO101,7,5,,,,,
ND3_5_sp_freq,RSU_7,НД3/5,Задание частоты насоса НД3/5,,7-ШС13.1,AO101,8,5,,,,,
ND8_2_sp_freq,RSU_7,НД8/2,НД8/2 Задание частоты насоса ,,7-ШС14.1,AO101,1,15,,%QD79,,,
N10_2_sp_freq,RSU_7,Н10/2,Н10/2 Задание частоты насоса Н10/2,,7-ШС16.1,AO101,1,17,,%QD90,,,Узел ОММ 2.2/Е10.2
NM2_2_sp_freq,RSU_7,Нм2/2,Нм2/2 Задание частоты насоса Нм2/2,,7-ШС16.1,AO101,2,17,,%QD91,,,Узел ОММ 2.2/Ем2.2
N11_4_sp_freq,RSU_7,Н11/4,Н11/4 Задание частоты насоса Н11/4,,7-ШС17.1,AO101,1,14,,%QD70,,,Узел ОММ 3.2/Е11.4
NM3_2_sp_freq,RSU_7,Нм3/2,Нм3/2 Задание частоты насоса Нм3/2,,7-ШС17.1,AO101,2,14,,%QD71,,,Узел ОММ 3.2/Ем3.2
