LT_5L1_YMIN,MODBUS TCP/IP,4x,1001,Значение MIN (для пересчета)
LT_5L1_YMAX,MODBUS TCP/IP,4x,1003,Значение MAX (для пересчета)
LT_5L1_BREAK_TLD,MODBUS TCP/IP,4x,1005,Порог обрыва
LT_5L1_TF,MODBUS TCP/IP,4x,1007,Постоянная времени фильтра
LT_5L1_AH,MODBUS TCP/IP,4x,1009,Уставка верхняя аварийная
LT_5L1_WH,MODBUS TCP/IP,4x,1011,Уставка верхняя предупредительная
LT_5L1_WL,MODBUS TCP/IP,4x,1013,Уставка нижняя предупредительная
LT_5L1_AL,MODBUS TCP/IP,4x,1015,Уставка нижняя аварийная 
LT_5L1_MAN_VALUE,MODBUS TCP/IP,4x,1017,Значение в режиме эмитации 
LT_5L1_MAN_ON,MODBUS TCP/IP,4x_Bit,1019.0,Включен режим эмитации
LZT_5L10_1_YMIN,MODBUS TCP/IP,4x,1020,Значение MIN (для пересчета)
LZT_5L10_1_YMAX,MODBUS TCP/IP,4x,1022,Значение MAX (для пересчета)
LZT_5L10_1_BREAK_TLD,MODBUS TCP/IP,4x,1024,Порог обрыва
LZT_5L10_1_TF,MODBUS TCP/IP,4x,1026,Постоянная времени фильтра
LZT_5L10_1_AH,MODBUS TCP/IP,4x,1028,Уставка верхняя аварийная
LZT_5L10_1_WH,MODBUS TCP/IP,4x,1030,Уставка верхняя предупредительная
LZT_5L10_1_WL,MODBUS TCP/IP,4x,1032,Уставка нижняя предупредительная
LZT_5L10_1_AL,MODBUS TCP/IP,4x,1034,Уставка нижняя аварийная 
LZT_5L10_1_MAN_VALUE,MODBUS TCP/IP,4x,1036,Значение в режиме эмитации 
LZT_5L10_1_MAN_ON,MODBUS TCP/IP,4x_Bit,1038.0,Включен режим эмитации
LZT_5L10_2_YMIN,MODBUS TCP/IP,4x,1039,Значение MIN (для пересчета)
LZT_5L10_2_YMAX,MODBUS TCP/IP,4x,1041,Значение MAX (для пересчета)
LZT_5L10_2_BREAK_TLD,MODBUS TCP/IP,4x,1043,Порог обрыва
LZT_5L10_2_TF,MODBUS TCP/IP,4x,1045,Постоянная времени фильтра
LZT_5L10_2_AH,MODBUS TCP/IP,4x,1047,Уставка верхняя аварийная
LZT_5L10_2_WH,MODBUS TCP/IP,4x,1049,Уставка верхняя предупредительная
LZT_5L10_2_WL,MODBUS TCP/IP,4x,1051,Уставка нижняя предупредительная
LZT_5L10_2_AL,MODBUS TCP/IP,4x,1053,Уставка нижняя аварийная 
LZT_5L10_2_MAN_VALUE,MODBUS TCP/IP,4x,1055,Значение в режиме эмитации 
LZT_5L10_2_MAN_ON,MODBUS TCP/IP,4x_Bit,1057.0,Включен режим эмитации
TZT_5T10_1_YMIN,MODBUS TCP/IP,4x,1058,Значение MIN (для пересчета)
TZT_5T10_1_YMAX,MODBUS TCP/IP,4x,1060,Значение MAX (для пересчета)
TZT_5T10_1_BREAK_TLD,MODBUS TCP/IP,4x,1062,Порог обрыва
TZT_5T10_1_TF,MODBUS TCP/IP,4x,1064,Постоянная времени фильтра
TZT_5T10_1_AH,MODBUS TCP/IP,4x,1066,Уставка верхняя аварийная
TZT_5T10_1_WH,MODBUS TCP/IP,4x,1068,Уставка верхняя предупредительная
TZT_5T10_1_WL,MODBUS TCP/IP,4x,1070,Уставка нижняя предупредительная
TZT_5T10_1_AL,MODBUS TCP/IP,4x,1072,Уставка нижняя аварийная 
TZT_5T10_1_MAN_VALUE,MODBUS TCP/IP,4x,1074,Значение в режиме эмитации 
TZT_5T10_1_MAN_ON,MODBUS TCP/IP,4x_Bit,1076.0,Включен режим эмитации
TZT_5T10_2_YMIN,MODBUS TCP/IP,4x,1077,Значение MIN (для пересчета)
TZT_5T10_2_YMAX,MODBUS TCP/IP,4x,1079,Значение MAX (для пересчета)
TZT_5T10_2_BREAK_TLD,MODBUS TCP/IP,4x,1081,Порог обрыва
TZT_5T10_2_TF,MODBUS TCP/IP,4x,1083,Постоянная времени фильтра
TZT_5T10_2_AH,MODBUS TCP/IP,4x,1085,Уставка верхняя аварийная
TZT_5T10_2_WH,MODBUS TCP/IP,4x,1087,Уставка верхняя предупредительная
TZT_5T10_2_WL,MODBUS TCP/IP,4x,1089,Уставка нижняя предупредительная
TZT_5T10_2_AL,MODBUS TCP/IP,4x,1091,Уставка нижняя аварийная 
