LT_5L1_VALUE,MODBUS TCP/IP,3x,1,Значение в инженерных единицах
LT_5L1_ALARM,MODBUS TCP/IP,3x,3,Авария
LT_5L1_QUALITY,MODBUS TCP/IP,3x,4,Качество сигнала
LT_5L1_SIGN,MODBUS TCP/IP,3x,5,Сигнализация
LZT_5L10_1_VALUE,MODBUS TCP/IP,3x,6,Значение в инженерных единицах
LZT_5L10_1_ALARM,MODBUS TCP/IP,3x,8,Авария
LZT_5L10_1_QUALITY,MODBUS TCP/IP,3x,9,Качество сигнала
LZT_5L10_1_SIGN,MODBUS TCP/IP,3x,10,Сигнализация
LZT_5L10_2_VALUE,MODBUS TCP/IP,3x,11,Значение в инженерных единицах
LZT_5L10_2_ALARM,MODBUS TCP/IP,3x,13,Авария
LZT_5L10_2_QUALITY,MODBUS TCP/IP,3x,14,Качество сигнала
LZT_5L10_2_SIGN,MODBUS TCP/IP,3x,15,Сигнализация
TZT_5T10_1_VALUE,MODBUS TCP/IP,3x,16,Значение в инженерных единицах
TZT_5T10_1_ALARM,MODBUS TCP/IP,3x,18,Авария
TZT_5T10_1_QUALITY,MODBUS TCP/IP,3x,19,Качество сигнала
TZT_5T10_1_SIGN,MODBUS TCP/IP,3x,20,Сигнализация
TZT_5T10_2_VALUE,MODBUS TCP/IP,3x,21,Значение в инженерных единицах
TZT_5T10_2_ALARM,MODBUS TCP/IP,3x,23,Авария
TZT_5T10_2_QUALITY,MODBUS TCP/IP,3x,24,Качество сигнала
TZT_5T10_2_SIGN,MODBUS TCP/IP,3x,25,Сигнализация
PZT_5P12_1_VALUE,MODBUS TCP/IP,3x,26,Значение в инженерных единицах
PZT_5P12_1_ALARM,MODBUS TCP/IP,3x,28,Авария
PZT_5P12_1_QUALITY,MODBUS TCP/IP,3x,29,Качество сигнала
PZT_5P12_1_SIGN,MODBUS TCP/IP,3x,30,Сигнализация
PZT_5P12_2_VALUE,MODBUS TCP/IP,3x,31,Значение в инженерных единицах
PZT_5P12_2_ALARM,MODBUS TCP/IP,3x,33,Авария
PZT_5P12_2_QUALITY,MODBUS TCP/IP,3x,34,Качество сигнала
PZT_5P12_2_SIGN,MODBUS TCP/IP,3x,35,Сигнализация
LZT_5L11_1_VALUE,MODBUS TCP/IP,3x,36,Значение в инженерных единицах
LZT_5L11_1_ALARM,MODBUS TCP/IP,3x,38,Авария
LZT_5L11_1_QUALITY,MODBUS TCP/IP,3x,39,Качество сигнала
LZT_5L11_1_SIGN,MODBUS TCP/IP,3x,40,Сигнализация
LZT_5L11_2_VALUE,MODBUS TCP/IP,3x,41,Значение в инженерных единицах
LZT_5L11_2_ALARM,MODBUS TCP/IP,3x,43,Авария
LZT_5L11_2_QUALITY,MODBUS TCP/IP,3x,44,Качество сигнала
LZT_5L11_2_SIGN,MODBUS TCP/IP,3x,45,Сигнализация
TZT_5T11_1_VALUE,MODBUS TCP/IP,3x,46,Значение в инженерных единицах
TZT_5T11_1_ALARM,MODBUS TCP/IP,3x,48,Авария
TZT_5T11_1_QUALITY,MODBUS TCP/IP,3x,49,Качество сигнала
TZT_5T11_1_SIGN,MODBUS TCP/IP,3x,50,Сигнализация
TZT_5T11_2_VALUE,MODBUS TCP/IP,3x,51,Значение в инженерных единицах
TZT_5T11_2_ALARM,MODBUS TCP/IP,3x,53,Авария
TZT_5T11_2_QUALITY,MODBUS TCP/IP,3x,54,Качество сигнала
TZT_5T11_2_SIGN,MODBUS TCP/IP,3x,55,Сигнализация
PZT_5P13_1_VALUE,MODBUS TCP/IP,3x,56,Значение в инженерных единицах
PZT_5P13_1_ALARM,MODBUS TCP/IP,3x,58,Авария
PZT_5P13_1_QUALITY,MODBUS TCP/IP,3x,59,Качество сигнала
PZT_5P13_1_SIGN,MODBUS TCP/IP,3x,60,Сигнализация
PZT_5P13_2_VALUE,MODBUS TCP/IP,3x,61,Значение в инженерных единицах
PZT_5P13_2_ALARM,MODBUS TCP/IP,3x,63,Авария
PZT_5P13_2_QUALITY,MODBUS TCP/IP,3x,64,Качество сигнала
PZT_5P13_2_SIGN,MODBUS TCP/IP,3x,65,Сигнализация
LZT_5L12_1_VALUE,MODBUS TCP/IP,3x,66,Значение в инженерных единицах
LZT_5L12_1_ALARM,MODBUS TCP/IP,3x,68,Авария
LZT_5L12_1_QUALITY,MODBUS TCP/IP,3x,69,Качество сигнала
LZT_5L12_1_SIGN,MODBUS TCP/IP,3x,70,Сигнализация
LZT_5L12_2_VALUE,MODBUS TCP/IP,3x,71,Значение в инженерных единицах
LZT_5L12_2_ALARM,MODBUS TCP/IP,3x,73,Авария
LZT_5L12_2_QUALITY,MODBUS TCP/IP,3x,74,Качество сигнала
LZT_5L12_2_SIGN,MODBUS TCP/IP,3x,75,Сигнализация
TZT_5T12_1_VALUE,MODBUS TCP/IP,3x,76,Значение в инженерных единицах
TZT_5T12_1_ALARM,MODBUS TCP/IP,3x,78,Авария
