id,Секция,Кабель,Проводник,Клеммник
1,4,LZT-5L10/1-К,LZT-5L10/1-К-1,ХТ3:1
2,,,LZT-5L10/1-К-2,ХТ3:2
3,,,РЕ,ХТ3:3
4,4,LZT-5L10/2-К,LZT-5L10/2-К-1,ХТ3:5
5,,,LZT-5L10/2-К-2,ХТ3:6
6,,,РЕ,ХТ3:7
7,4,TZT-5T10/1-К,TZT-5T10/1-К-1,ХТ3:9
8,,,TZT-5T10/1-К-2,ХТ3:10
9,,,РЕ,ХТ3:11
10,4,TZT-5T10/2-К,TZT-5T10/2-К-1,ХТ3:13
11,,,TZT-5T10/2-К-2,ХТ3:14
12,,,РЕ,ХТ3:15
13,4,PZT-5P12/1-К,PZT-5P12/1-К-1,ХТ3:17
14,,,PZT-5P12/1-К-2,ХТ3:18
15,,,РЕ,ХТ3:19
16,4,PZT-5P12/2-К,PZT-5P12/2-К-1,ХТ3:21
17,,,PZT-5P12/2-К-2,ХТ3:22
18,,,РЕ,ХТ3:23
19,4,LZT-5L11/1-К,LZT-5L11/1-К-1,ХТ3:25
20,,,LZT-5L11/1-К-2,ХТ3:26
21,,,РЕ,ХТ3:27
22,4,LZT-5L11/2-К,LZT-5L11/2-К-1,ХТ3:29
23,,,LZT-5L11/2-К-2,ХТ3:30
24,,,РЕ,ХТ3:31
25,4,TZT-5T11/1-К,TZT-5T11/1-К-1,ХТ4:1
26,,,TZT-5T11/1-К-2,ХТ4:2
27,,,РЕ,ХТ4:3
28,4,TZT-5T11/2-К,TZT-5T11/2-К-1,ХТ4:5
29,,,TZT-5T11/2-К-2,ХТ4:6
30,,,РЕ,ХТ4:7
31,4,PZT-5P13/1-К,PZT-5P13/1-К-1,ХТ4:9
32,,,PZT-5P13/1-К-2,ХТ4:10
33,,,РЕ,ХТ4:11
34,4,PZT-5P13/2-К,PZT-5P13/2-К-1,ХТ4:13
35,,,PZT-5P13/2-К-2,ХТ4:14
36,,,РЕ,ХТ4:15
37,4,LZT-5L12/1-К,LZT-5L12/1-К-1,ХТ4:17
38,,,LZT-5L12/1-К-2,ХТ4:18
39,,,РЕ,ХТ4:19
40,4,LZT-5L12/2-К,LZT-5L12/2-К-1,ХТ4:21
41,,,LZT-5L12/2-К-2,ХТ4:22
42,,,РЕ,ХТ4:23
43,4,TZT-5T12/1-К,TZT-5T12/1-К-1,ХТ4:25
44,,,TZT-5T12/1-К-2,ХТ4:26
45,,,РЕ,ХТ4:27
46,4,TZT-5T12/2-К,TZT-5T12/2-К-1,ХТ4:29
47,,,TZT-5T12/2-К-2,ХТ4:30
48,,,РЕ,ХТ4:31
49,4,PZT-5P14/1-К,PZT-5P14/1-К-1,ХТ5:1
50,,,PZT-5P14/1-К-2,ХТ5:2
51,,,РЕ,ХТ5:3
52,4,PZT-5P14/2-К,PZT-5P14/2-К-1,ХТ5:5
53,,,PZT-5P14/2-К-2,ХТ5:6
54,,,РЕ,ХТ5:7
55,4,LZT-5L13/1-К,LZT-5L13/1-К-1,ХТ5:9
56,,,LZT-5L13/1-К-2,ХТ5:10
57,,,РЕ,ХТ5:11
58,4,LZT-5L13/2-К,LZT-5L13/2-К-1,ХТ5:13
59,,,LZT-5L13/2-К-2,ХТ5:14
60,,,РЕ,ХТ5:15
61,4,TZT-5T13/1-К,TZT-5T13/1-К-1,ХТ5:17
62,,,TZT-5T13/1-К-2,ХТ5:18
63,,,РЕ,ХТ5:19
64,4,TZT-5T13/2-К,TZT-5T13/2-К-1,ХТ5:21
65,,,TZT-5T13/2-К-2,ХТ5:22
66,,,РЕ,ХТ5:23
67,4,PZT-5P15/1-К,PZT-5P15/1-К-1,ХТ5:25
68,,,PZT-5P15/1-К-2,ХТ5:26
69,,,РЕ,ХТ5:27
70,4,PZT-5P15/2-К,PZT-5P15/2-К-1,ХТ5:29
71,,,PZT-5P15/2-К-2,ХТ5:30
72,,,РЕ,ХТ5:31
73,4,LT-5L1-К,LT-5L1-К-1,ХТ6:1
74,,,LT-5L1-К-2,ХТ6:2
75,,,РЕ,ХТ6:3
76,4,LT-5L2-К,LT-5L2-К-1,ХТ6:5
77,,,LT-5L2-К-2,ХТ6:6
78,,,РЕ,ХТ6:7
79,4,LT-5L3-К,LT-5L3-К-1,ХТ6:9
80,,,LT-5L3-К-2,ХТ6:10
81,,,РЕ,ХТ6:11
82,4,LT-5L4-К,LT-5L4-К-1,ХТ6:13
83,,,LT-5L4-К-2,ХТ6:14
84,,,РЕ,ХТ6:15
85,4,PZT-5P10/1-К,PZT-5P10/1-К-1,ХТ6:17
86,,,PZT-5P10/1-К-2,ХТ6:18
87,,,РЕ,ХТ6:19
88,4,PZT-5P10/2-К,PZT-5P10/2-К-1,ХТ6:21
89,,,PZT-5P10/2-К-2,ХТ6:22
90,,,РЕ,ХТ6:23
91,4,PZT-5P11/1-К,PZT-5P11/1-К-1,ХТ6:25
92,,,PZT-5P11/1-К-2,ХТ6:26
93,,,РЕ,ХТ6:27
94,4,PZT-5P11/2-К,PZT-5P11/2-К-1,ХТ5:29
95,,,PZT-5P11/2-К-2,ХТ5:30
96,,,РЕ,ХТ5:31
97,4,LS-5L5-К,LS-5L5-К-24В,ХТ11:1
98,,,LS-5L5-К-OB,ХТ11:2
99,,,РЕ,ХТ11:3
100,,,LS-5L5-К-NO1.1,ХТ11:4
101,4,LS-5L6-К,LS-5L6-К-24В,ХТ11:5
102,,,LS-5L6-К-OB,ХТ11:6
103,,,РЕ,ХТ11:7
104,,,LS-5L6-К-NO1.1,ХТ11:8
105,2,5кшэ1-Р1,5кшэ1-К-U,ХТ9:1
106,,,5кшэ1-К-V,ХТ9:2
107,,,5кшэ1-К-W,ХТ9:3
108,,5кшэ1-К,5кшэ1-К-10,ХТ9:4
109,,,5кшэ1-К-14,ХТ9:5
110,,,5кшэ1-К-17,ХТ9:9
111,,,5кшэ1-К-18,ХТ9:10
112,,,5кшэ1-К-11,ХТ9:11
113,,,5кшэ1-К-15,ХТ9:12
114,,,5кшэ1-К-12,ХТ9:13
115,,,5кшэ1-К-16,ХТ9:14
116,2,5кшэ2-Р1,5кшэ2-К-U,ХТ9:15
117,,,5кшэ2-К-V,ХТ9:16
118,,,5кшэ2-К-W,ХТ9:17
119,,5кшэ2-К,5кшэ2-К-10,ХТ9:18
120,,,5кшэ2-К-14,ХТ9:19
121,,,5кшэ2-К-17,ХТ9:23
122,,,5кшэ2-К-18,ХТ9:24
123,,,5кшэ2-К-11,ХТ9:25
124,,,5кшэ2-К-15,ХТ9:26
125,,,5кшэ2-К-12,ХТ9:27
126,,,5кшэ2-К-16,ХТ9:28
127,2,5кшэ3-Р1,5кшэ3-К-U,ХТ9:29
128,,,5кшэ3-К-V,ХТ9:30
129,,,5кшэ3-К-W,ХТ9:31
130,,5кшэ3-К,5кшэ3-К-10,ХТ9:32
131,,,5кшэ3-К-14,ХТ9:33
132,,,5кшэ3-К-17,ХТ9:37
133,,,5кшэ3-К-18,ХТ9:38
134,,,5кшэ3-К-11,ХТ9:39
135,,,5кшэ3-К-15,ХТ9:40
136,,,5кшэ3-К-12,ХТ9:41
137,,,5кшэ3-К-16,ХТ9:42
138,2,5кшэ4-Р1,5кшэ4-К-U,ХТ9:43
139,,,5кшэ4-К-V,ХТ9:44
140,,,5кшэ4-К-W,ХТ9:45
141,,5кшэ4-К,5кшэ4-К-10,ХТ9:46
142,,,5кшэ4-К-14,ХТ9:47
143,,,5кшэ4-К-17,ХТ9:51
144,,,5кшэ4-К-18,ХТ9:52
145,,,5кшэ4-К-11,ХТ9:53
146,,,5кшэ4-К-15,ХТ9:54
147,,,5кшэ4-К-12,ХТ9:55
148,,,5кшэ4-К-16,ХТ9:56
149,2,5кшэ5-Р1,5кшэ5-К-U,ХТ9:57
150,,,5кшэ5-К-V,ХТ9:58
151,,,5кшэ5-К-W,ХТ9:59
152,,5кшэ5-К,5кшэ5-К-10,ХТ9:60
153,,,5кшэ5-К-14,ХТ9:61
154,,,5кшэ5-К-17,ХТ9:65
155,,,5кшэ5-К-18,ХТ9:66
156,,,5кшэ5-К-11,ХТ9:67
157,,,5кшэ5-К-15,ХТ9:68
158,,,5кшэ5-К-12,ХТ9:69
159,,,5кшэ5-К-16,ХТ9:70
160,2,5кшэ6-Р1,5кшэ6-К-U,ХТ9:71
161,,,5кшэ6-К-V,ХТ9:72
162,,,5кшэ6-К-W,ХТ9:73
163,,5кшэ6-К,5кшэ6-К-10,ХТ9:74
164,,,5кшэ6-К-14,ХТ9:75
165,,,5кшэ6-К-17,ХТ9:79
166,,,5кшэ6-К-18,ХТ9:80
167,,,5кшэ6-К-11,ХТ9:81
168,,,5кшэ6-К-15,ХТ9:82
169,,,5кшэ6-К-12,ХТ9:83
170,,,5кшэ6-К-16,ХТ9:84
171,2,5кшэ7-Р1,5кшэ7-К-U,ХТ9:85
172,,,5кшэ7-К-V,ХТ9:86
173,,,5кшэ7-К-W,ХТ9:87
174,,5кшэ7-К,5кшэ7-К-10,ХТ9:88
175,,,5кшэ7-К-14,ХТ9:89
176,,,5кшэ7-К-17,ХТ9:93
177,,,5кшэ7-К-18,ХТ9:94
178,,,5кшэ7-К-11,ХТ9:95
179,,,5кшэ7-К-15,ХТ9:96
180,,,5кшэ7-К-12,ХТ9:97
181,,,5кшэ7-К-16,ХТ9:98
182,2,5кшэ8-Р1,5кшэ8-К-U,ХТ9:99
183,,,5кшэ8-К-V,ХТ9:100
184,,,5кшэ8-К-W,ХТ9:101
185,,5кшэ8-К,5кшэ8-К-10,ХТ9:102
186,,,5кшэ8-К-14,ХТ9:103
187,,,5кшэ8-К-17,ХТ9:107
188,,,5кшэ8-К-18,ХТ9:108
189,,,5кшэ8-К-11,ХТ9:109
190,,,5кшэ8-К-15,ХТ9:110
191,,,5кшэ8-К-12,ХТ9:111
192,,,5кшэ8-К-16,ХТ9:112
193,2,5кшэ9-Р1,5кшэ9-К-U,ХТ9:113
194,,,5кшэ9-К-V,ХТ9:114
195,,,5кшэ9-К-W,ХТ9:115
196,,5кшэ9-К,5кшэ9-К-10,ХТ9:116
197,,,5кшэ9-К-14,ХТ9:117
198,,,5кшэ9-К-17,ХТ9:121
199,,,5кшэ9-К-18,ХТ9:122
200,,,5кшэ9-К-11,ХТ9:123
201,,,5кшэ9-К-15,ХТ9:124
202,,,5кшэ9-К-12,ХТ9:125
203,,,5кшэ9-К-16,ХТ9:126
204,2,5кшэ10-Р1,5кшэ10-К-U,ХТ9:127
205,,,5кшэ10-К-V,ХТ9:128
206,,,5кшэ10-К-W,ХТ9:129
207,,5кшэ10-К,5кшэ10-К-10,ХТ9:130
208,,,5кшэ10-К-14,ХТ9:131
209,,,5кшэ10-К-17,ХТ9:135
210,,,5кшэ10-К-18,ХТ9:136
211,,,5кшэ10-К-11,ХТ9:137
212,,,5кшэ10-К-15,ХТ9:138
213,,,5кшэ10-К-12,ХТ9:139
214,,,5кшэ10-К-16,ХТ9:140
215,2,5кшэ11-Р1,5кшэ11-К-U,ХТ9:141
216,,,5кшэ11-К-V,ХТ9:142
217,,,5кшэ11-К-W,ХТ9:143
218,,5кшэ11-К,5кшэ11-К-10,ХТ9:144
219,,,5кшэ11-К-14,ХТ9:145
