Кабель,Проводник,Проектная позиция Откуда,Клеммный ряд Откуда,Клемма Откуда,Подключено,Проверено,Проектная позиция Куда,Клеммный ряд Куда,Клемма Куда,Подключено,Проверено,Комментарий
C-LS2L30,LS-2L30 (1),LS-2L30,П,1,,,7-ШС3.1,XT4,21,,,
,LS-2L30 (2),LS-2L30,П,3,,,7-ШС3.1,XT4,22,,,
C-QT3Q1-1,QT-3Q1 (+),QT-3Q1,П,(+),,,7-ШС3.1,XT3,45,,,
,QT-3Q1 (-),QT-3Q1,П,(-),,,7-ШС3.1,XT3,46,,,
C-QT3Q1-2,QT-3Q1 (24В),QT-3Q1,П,24В,,,7-ШС3.1,XT3,43,,,
,QT-3Q1 (0В),QT-3Q1,П,0В,,,7-ШС3.1,XT3,44,,,
C-3zpe11-1,HSC3zpe11 (+),3зпэ11,П,3,,,7-ШС3.1,XT1,290,,,
,HSO3zpe11 (-),3зпэ11,П,4,,,7-ШС3.1,XT1,289,,,
,3zpe11 (N),3зпэ11,П,1,,,7-ШС3.1,XT1,291,,,
C-3zpe11-2,ZS3zpe11(com),3зпэ11,П,7,,,7-ШС3.1,XT1,293,,,
,ZSO3zpe11,3зпэ11,П,8,,,7-ШС3.1,XT1,294,,,
,ZSC3zpe11,3зпэ11,П,9,,,7-ШС3.1,XT1,295,,,
C-3kshe7-1,HSC3kshe7 (L),3кшэ7,П,3,,,7-ШС3.1,XT4,84,,,
,HSO3kshe7 (L),3кшэ7,П,4,,,7-ШС3.1,XT4,82,,,
,3kshe7 (N),3кшэ7,П,1,,,7-ШС3.1,XT4,81,,,
C-3kshe7-2,ZS3kshe7(com),3кшэ7,П,7,,,7-ШС3.1,XT4,5,,,
,ZSO3kshe7,3кшэ7,П,8,,,7-ШС3.1,XT4,6,,,
,ZSC3kshe7,3кшэ7,П,9,,,7-ШС3.1,XT4,8,,,
C-2zpv12,2zpv12 (24В),2zpv12,П,1,,,7-ШС3.1,XT4,94,,,
,2zpv12 (0В),2zpv12,П,2,,,7-ШС3.1,XT4,93,,,
,PE,2zpv12,П,3,,,7-ШС3.1,XT3,51,,,
,ZS2zpv12,2zpv12,П,4,,,7-ШС3.1,XT4,17,,,
,ZSC2zpv12 ,2zpv12,П,5,,,7-ШС3.1,XT4,20,,,
,ZSO2zpv12 ,2zpv12,П,7,,,7-ШС3.1,XT4,18,,,
C-3JB001-1,HS3zpe14 (N),3JB001,XT1,1,Да,Да,7-ШС3.1,XT1,3,Да,Да,
,HSC3zpe14 (L),3JB001,XT1,2,Да,Да,7-ШС3.1,XT1,2,Да,Да,
,HSO3zpe14 (L),3JB001,XT1,3,Да,Да,7-ШС3.1,XT1,1,Да,Да,
,3zpe14-PE,3JB001,XT1,PE,Да,Да,7-ШС3.1,XT1,4,Да,Да,
C-3JB001-2,HS3zpe17,3JB001,XT1,4,Да,Да,7-ШС3.1,XT1,11,Да,Да,
,HSC3zpe17,3JB001,XT1,5,Да,Да,7-ШС3.1,XT1,10,Да,Да,
,HSO3zpe17,3JB001,XT1,6,Да,Да,7-ШС3.1,XT1,9,Да,Да,
,3zpe17-PE,3JB001,XT1,PE,Да,Да,7-ШС3.1,XT1,12,Да,Да,
C-3JB001-3,FT-3F1 (24В),3JB001,XT2,1,Да,Да,7-ШС3.1,XT3,3,Да,Да,
,FT-3F1 (0В),3JB001,XT2,2,Да,Да,7-ШС3.1,XT3,4,Да,Да,
C-3JB001-4,FT-3F1 (+),3JB001,XT2,3,Да,Да,7-ШС3.1,XT3,1,Да,Да,
,FT-3F1 (-),3JB001,XT2,4,Да,Да,7-ШС3.1,XT3,2,Да,Да,
,LT-3L1 (+),3JB001,XT2,5,Да,Да,7-ШС3.1,XT3,5,Да,Да,
,LT-3L1 (-),3JB001,XT2,6,Да,Да,7-ШС3.1,XT3,6,Да,Да,
,ZS3zpe14-1,3JB001,XT1,7,Да,Да,7-ШС3.1,XT1,5,Да,Да,
,ZSO3zpe14,3JB001,XT1,8,Да,Да,7-ШС3.1,XT1,6,Да,Да,
,ZS3zpe14-2,3JB001,XT1,9,Да,Да,7-ШС3.1,XT1,5,Да,Да,
,ZSC3zpe14,3JB001,XT1,10,Да,Да,7-ШС3.1,XT1,7,Да,Да,
,ZS3zpe17-1,3JB001,XT1,11,Да,Да,7-ШС3.1,XT1,13,Да,Да,
,ZSO3zpe17,3JB001,XT1,12,Да,Да,7-ШС3.1,XT1,14,Да,Да,
,ZS3zpe17-2,3JB001,XT1,13,Да,Да,7-ШС3.1,XT1,13,Да,Да,
,ZSC3zpe17,3JB001,XT1,14,Да,Да,7-ШС3.1,XT1,15,Да,Да,
,Экран,3JB001,XT,экран,Да,Да,7-ШС3.1,XT2,6,Да,Да,
C-3JB002-1,HS3zpe18 (N),3JB002,XT1,1,Да,Да,7-ШС3.1,XT1,275,Да,Да,
,HSC3zpe18 (L),3JB002,XT1,2,Да,Да,7-ШС3.1,XT1,274,Да,Да,
,HSO3zpe18 (L),3JB002,XT1,3,Да,Да,7-ШС3.1,XT1,273,Да,Да,
,3zpe18-PE,3JB002,XT1,PE,Да,Да,7-ШС3.1,XT1,276,Да,Да,
C-3JB002-2,FT-3F8 (24В),3JB002,XT2,1,Да,Да,7-ШС3.1,XT3,31,Да,Да,
,FT-3F8 (0В),3JB002,XT2,2,Да,Да,7-ШС3.1,XT3,32,Да,Да,
C-3JB002-3,FT-3F8 (+),3JB002,XT2,3,Да,Да,7-ШС3.1,XT3,33,Да,Да,
,FT-3F8 (-),3JB002,XT2,4,Да,Да,7-ШС3.1,XT3,34,Да,Да,
,LT-3L2 (+),3JB002,XT2,5,Да,Да,7-ШС3.1,XT3,13,Да,Да,
,LT-3L2 (-),3JB002,XT2,6,Да,Да,7-ШС3.1,XT3,14,Да,Да,
,ZS3zpe18-1,3JB002,XT1,8,Да,Да,7-ШС3.1,XT1,277,Да,Да,
,ZSO3zpe18,3JB002,XT1,9,Да,Да,7-ШС3.1,XT1,278,Да,Да,
,ZS3zpe18-2,3JB002,XT1,10,Да,Да,7-ШС3.1,XT1,277,Да,Да,
,ZSC3zpe18,3JB002,XT1,11,Да,Да,7-ШС3.1,XT1,279,Да,Да,
,Экран,3JB002,XT,экран,Да,Да,7-ШС3.1,XT2,12,Да,Да,
C-3JB003-1,HS3zpe19 (N),3JB003,XT1,1,Да,Да,7-ШС3.1,XT1,299,Да,Да,
