id,system,equipment,name,place,product,module,channel,crate,check,cat,property,inversion,ton,tof,comment,node
V_2kshe10_opened,RSU_7,2КШЭ10,2КШЭ10 Открыт,,7-ШС1.1,DI101,1,3,,0,,,,,,Узел флотации/Приямок П2
V_2kshe10_closed,RSU_7,2КШЭ10,2КШЭ10 Закрыт,,7-ШС1.1,DI101,2,3,,0,,,,,,Узел флотации/Приямок П2
V_2kshe135_opened,RSU_7,2КШЭ135,2КШЭ135 Открыт,,7-ШС1.1,DI101,3,3,,0,,,,,,Узел приема и усреднения жидких отходов/Приямок П1
V_2kshe135_closed,RSU_7,2КШЭ135,2КШЭ135 Закрыт,,7-ШС1.1,DI101,4,3,,0,,,,,,Узел приема и усреднения жидких отходов/Приямок П1
V_2kshe15_opened,RSU_7,2КШЭ15 ,2КШЭ15 Открыт,,7-ШС1.1,DI101,5,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2kshe15_closed,RSU_7,2КШЭ15 ,2КШЭ15 Закрыт,,7-ШС1.1,DI101,6,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe40_opened,RSU_7,2ЗПЭ40,2ЗПЭ40 Открыт,,7-ШС1.1,DI101,7,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe40_closed,RSU_7,2ЗПЭ40,2ЗПЭ40 Закрыт,,7-ШС1.1,DI101,8,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe105_opened,RSU_7,2ЗПЭ105,2ЗПЭ105 Открыт,,7-ШС1.1,DI101,9,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe105_closed,RSU_7,2ЗПЭ105,2ЗПЭ105 Закрыт,,7-ШС1.1,DI101,10,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe111_opened,RSU_7,2ЗПЭ111,2ЗПЭ111 Открыт,,7-ШС1.1,DI101,11,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe111_closed,RSU_7,2ЗПЭ111,2ЗПЭ111 Закрыт,,7-ШС1.1,DI101,12,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe117_opened,RSU_7,2ЗПЭ117,2ЗПЭ117 Открыт,,7-ШС1.1,DI101,13,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe117_closed,RSU_7,2ЗПЭ117,2ЗПЭ117 Закрыт,,7-ШС1.1,DI101,14,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe119_opened,RSU_7,2ЗПЭ119,2ЗПЭ119 Открыт,,7-ШС1.1,DI101,15,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe119_closed,RSU_7,2ЗПЭ119,2ЗПЭ119 Закрыт,,7-ШС1.1,DI101,16,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe125_opened,RSU_7,2ЗПЭ125,2ЗПЭ125 Открыт,,7-ШС1.1,DI101,17,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe125_closed,RSU_7,2ЗПЭ125 ,2ЗПЭ125 Закрыт,,7-ШС1.1,DI101,18,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe41_opened,RSU_7,2ЗПЭ41,2ЗПЭ41 Открыт,,7-ШС1.1,DI101,19,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe41_closed,RSU_7,2ЗПЭ41,2ЗПЭ41 Закрыт,,7-ШС1.1,DI101,20,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2kshe105_opened,RSU_7,2КШЭ105,2КШЭ105 Открыт,,7-ШС1.1,DI101,21,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2kshe105_closed,RSU_7,2КШЭ105,2КШЭ105 Закрыт,,7-ШС1.1,DI101,22,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe39_opened,RSU_7,2ЗПЭ39,2ЗПЭ39 Открыт,,7-ШС1.1,DI101,23,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.2
V_2zpe39_closed,RSU_7,2ЗПЭ39,2ЗПЭ39 Закрыт,,7-ШС1.1,DI101,24,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.2
V_2zpe106_opened,RSU_7,2ЗПЭ106,2ЗПЭ106 Открыт,,7-ШС1.1,DI101,25,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.2
V_2zpe106_closed,RSU_7,2ЗПЭ106,2ЗПЭ106 Закрыт,,7-ШС1.1,DI101,26,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.2
V_2zpe112_opened,RSU_7,2ЗПЭ112,2ЗПЭ112 Открыт,,7-ШС1.1,DI101,27,3,,0,,,,,,Узел приема и усреднения жидких отходов/Е0.2
