id,system,equipment,name,place,product,module,channel,crate,check,inversion,property,comment,node
V_2kshe10_open,RSU_7,2КШЭ10,2КШЭ10 Открыть,,7-ШС1.1,DO201,1,4,,,,,Узел флотации/Приямок П2
V_2kshe10_close,RSU_7,2КШЭ10,2КШЭ10 Закрыть,,7-ШС1.1,DO201,2,4,,,,,Узел флотации/Приямок П2
V_2kshe135_open,RSU_7,2КШЭ135,2КШЭ135 Открыть,,7-ШС1.1,DO201,3,4,,,,,Узел приема и усреднения жидких отходов/Приямок П1
V_2kshe135_close,RSU_7,2КШЭ135,2КШЭ135 Закрыть,,7-ШС1.1,DO201,4,4,,,,,Узел приема и усреднения жидких отходов/Приямок П1
V_2kshe15_open,RSU_7,2КШЭ15 ,2КШЭ15 Открыть,,7-ШС1.1,DO201,5,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2kshe15_close,RSU_7,2КШЭ15 ,2КШЭ15 Закрыть,,7-ШС1.1,DO201,6,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe40_open,RSU_7,23ПЭ40,23ПЭ40 Открыть,,7-ШС1.1,DO201,7,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe40_close,RSU_7,23ПЭ40,23ПЭ40 Закрыть,,7-ШС1.1,DO201,8,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe105_open,RSU_7,23ПЭ105,23ПЭ105 Открыть,,7-ШС1.1,DO201,9,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe105_close,RSU_7,23ПЭ105,23ПЭ105 Закрыть,,7-ШС1.1,DO201,10,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe111_open,RSU_7,23ПЭ111,23ПЭ111 Открыть,,7-ШС1.1,DO201,11,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe111_close,RSU_7,23ПЭ111,23ПЭ111 Закрыть,,7-ШС1.1,DO201,12,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe117_open,RSU_7,23ПЭ117,23ПЭ117 Открыть,,7-ШС1.1,DO201,13,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe117_close,RSU_7,23ПЭ117,23ПЭ117 Закрыть,,7-ШС1.1,DO201,14,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe119_open,RSU_7,23ПЭ119,23ПЭ119 Открыть,,7-ШС1.1,DO201,15,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe119_close,RSU_7,23ПЭ119,23ПЭ119 Закрыть,,7-ШС1.1,DO201,16,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe125_open,RSU_7,23ПЭ125,23ПЭ125 Открыть,,7-ШС1.1,DO201,17,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe125_close,RSU_7,23ПЭ125 ,23ПЭ125 Закрыть,,7-ШС1.1,DO201,18,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe41_open,RSU_7,23ПЭ41,23ПЭ41 Открыть,,7-ШС1.1,DO201,19,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe41_close,RSU_7,23ПЭ41,23ПЭ41 Закрыть,,7-ШС1.1,DO201,20,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2kshe105_open,RSU_7,2КШЭ105,2КШЭ105 Открыть,,7-ШС1.1,DO201,21,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2kshe105_close,RSU_7,2КШЭ105,2КШЭ105 Закрыть,,7-ШС1.1,DO201,22,4,,,,,Узел приема и усреднения жидких отходов/Е0.1
V_2zpe39_open,RSU_7,23ПЭ39,23ПЭ39 Открыть,,7-ШС1.1,DO201,23,4,,,,,Узел приема и усреднения жидких отходов/Е0.2
V_2zpe39_close,RSU_7,23ПЭ39,23ПЭ39 Закрыть,,7-ШС1.1,DO201,24,4,,,,,Узел приема и усреднения жидких отходов/Е0.2
V_2zpe106_open,RSU_7,23ПЭ106,23ПЭ106 Открыть,,7-ШС1.1,DO201,25,4,,,,,Узел приема и усреднения жидких отходов/Е0.2
