id,Система,Оборудование,Порт,adress,mask,MAC,Comment
1,11-ПУ1,CPU1,Port6,10.7.10.20,/24,,
2,11-ПУ1,CPU2,Port6,10.7.11.20,/24,,
3,11-ПУ1,Weintec,LAN1,10.7.11.21,/24,,
4,ГП7.1,Коммутатор,Port1,10.7.3.20,/24,,
5,ГП9,Коммутатор,Port1,10.7.3.21,/24,,
6,ГП12,Коммутатор,Port1,10.7.3.22,/24,,
7,АСУТП,Основной сервер,LAN1,10.7.1.20,/24,,
8,АСУТП,Основной сервер,LAN2,10.7.2.20,/24,,
9,АСУТП,Резервный сервер,LAN1,10.7.1.21,/24,,
10,АСУТП,Резервный сервер,LAN2,10.7.2.21,/24,,
11,АСУТП,Инженерная станция,LAN1,10.7.1.22,/24,,
12,АСУТП,Инженерная станция,LAN1,10.7.2.22,/24,,
13,АСУТП,Коммутатор1,Port2,10.7.1.23,/24,,
14,АСУТП,Коммутатор2,Port1,10.7.1.24,/24,,
15,ГП7,РСУ-CPU1,Port5,10.7.1.30,/24,,
16,ГП7,РСУ-CPU1,Port6,10.7.2.30,/24,,
17,ГП7,РСУ-CPU2,Port5,10.7.2.31,/24,,
18,ГП7,РСУ-CPU2,Port6,10.7.1.31,/24,,
19,ГП7,РСУ-Коммутатор1,XG1,10.7.1.32,/24,,
20,ГП7,РСУ-Коммутатор2,XG1,10.7.2.32,/24,,
21,ГП7,ПАЗ-CPU1,Port5,10.7.1.33,/24,,
22,ГП7,ПАЗ-CPU1,Port6,10.7.2.33,/24,,
23,ГП7,ПАЗ-CPU2,Port5,10.7.2.34,/24,,
24,ГП7,ПАЗ-CPU2,Port6,10.7.1.34,/24,,
25,ГП12,РСУ-CPU1,Port5,10.7.1.35,/24,,
26,ГП12,РСУ-CPU1,Port6,10.7.2.35,/24,,
27,ГП12,РСУ-CPU2,Port5,10.7.2.36,/24,,
28,ГП12,РСУ-CPU2,Port6,10.7.1.36,/24,,
29,ГП12,РСУ-Коммутатор1,Port23,10.7.1.37,/24,,
30,ГП12,РСУ-Коммутатор2,Port24,10.7.2.37,/24,,
31,ГП12,ШС2.1-ШУ1,LAN1,10.7.1.38,/24,,
32,ГП12,ШС2.1-ШУ2,LAN1,10.7.1.39,/24,,
33,ГП12,ШС2.1-ШУ3,LAN1,10.7.1.40,/24,,
34,ГП12,ШС2.1-ШУ6,LAN1,10.7.1.41,/24,,
35,ГП12,ШС2.1-ШУ9,LAN1,10.7.1.42,/24,,
36,ГП12,ШС2.1-ШУ10,LAN1,10.7.1.43,/24,,
37,ГП12,ШС2.1-ШУ11,LAN1,10.7.1.44,/24,,
38,ГП12,ШС2.1-ШУ14,LAN1,10.7.1.45,/24,,
39,ГП12,ШС2.1-ШУ19,LAN1,10.7.1.46,/24,,
40,ГП12,ШС2.1-ШУ20,LAN1,10.7.1.47,/24,,
41,ГП12,ШС3.1-ШУ1Д,LAN1,10.7.2.38,/24,,
42,ГП12,ШС3.1-ШУ5Д,LAN1,10.7.2.39,/24,,
43,ГП12,ШС14.1-Wintec,LAN1,10.7.1.48,/24,,
44,ГП12,ШС15.1-Wintec,LAN1,10.7.2.40,/24,,
45,ГП13,ШС27.1-Wintec,LAN1,10.7.2.41,/24,,
46,ГП12,ШС27.1-ШС21,LAN1,10.7.2.42,/24,,
47,ГП12,ШС27.1-ШС22,LAN1,10.7.2.43,/24,,
48,ГП12,ШС27.1-ШС23,LAN1,10.7.2.44,/24,,
49,ГП12,ШС27.1-ШС24,LAN1,10.7.2.45,/24,,
50,ГП12,ШС27.1-ШС25,LAN1,10.7.2.46,/24,,
51,ГП12,ШС27.1-ШС25а,LAN1,10.7.2.47,/24,,
52,ГП12,ШС27.1-ШС26,LAN1,10.7.2.48,/24,,
53,ГП12,ШС27.1-ШС26а,LAN1,10.7.2.49,/24,,
54,ГП12,ШС27.1-ШС29,LAN1,10.7.2.50,/24,,
55,ГП12,ШС27.1-ШС30,LAN1,10.7.2.51,/24,,
56,ГП12,ШС28.1-Wintec,LAN1,10.7.2.52,/24,,
57,ГП12,ШС28.1-ШУ14Д,LAN1,10.7.2.53,/24,,
58,ГП12,ШС28.1-ШУ8Д,LAN1,10.7.2.54,/24,,
59,ГП12,ШС28.1-ШУ11Д,LAN1,10.7.2.55,/24,,
60,ГП12,ШС28.1-ШУ15Д,LAN1,10.7.2.56,/24,,
61,ГП12,ШС28.1-ШУ2Д,LAN1,10.7.2.57,/24,,
62,ГП12,ПАЗ-CPU1,Port5,10.7.1.60,/24,,
63,ГП12,ПАЗ-CPU1,Port6,10.7.2.60,/24,,
64,ГП12,ПАЗ-CPU2,Port5,10.7.2.61,/24,,
65,ГП12,ПАЗ-CPU2,Port6,10.7.1.61,/24,,
