" ",RSU_7_work,RSU_7_start,RSU_7_setStart,RSU_7_stop,RSU_7_stop_post,RSU_7_failure,,," PAZ_7_stop"
N0_1_pump,N0_1_pump_work,ND8_1_pump_start,N0_1_pump_setStart,N10_1_pump_stop,NKC1_2_pump_starts_post,NKC1_2_pump_starts_post,,,N0_1_pump_stop
M003_motor,M003_motor_work,N31_2_pump_start,M003_motor_setStart,EM1_2_motor_stop,,M003_motor_failure,,,N0_2_pump_stop
M004_motor,M004_motor_work,N32_2_pump_start,M004_motor_setStart,N31_2_pump_stop,,M004_motor_failure,,,N2_1_pump_stop
N0_2_pump,N0_2_pump_work,NM1_2_pump_start,N0_2_pump_setStart,N32_2_pump_stop,,N0_2_pump_failure,,,NOT_1_pump_stop
ND1_1_pump,ND1_1_pump_work,ND9_2_pump_start,ND1_1_pump_setStart,ND9_1_pump_stop,,ND1_1_pump_failure,,,NO1_pump_stop
ND1_2_pump,ND1_2_pump_work,EM1_2_motor_start,ND1_2_pump_setStart,,,ND1_2_pump_failure,,,NDG1_1_pump_stop
ND2_1_pump,Hot1_pump_work,ND9_1_pump_start,ND2_1_pump_setStart,,,ND2_1_pump_failure,,,N5_1_pump_stop
ND2_2_pump,ND3_3_pump_work,ND26_1_pump_start,ND2_2_pump_setStart,,,ND2_2_pump_failure,,,N6_2_pump_stop
Hot1_pump,N5_1_pump_work,ND25_1_pump_start,Hot1_pump_setStart,,,Hot1_pump_failure,,,ND7_1_pump_stop
ND3_1_pump,N6_1_pump_work,ND26_2_pump_start,ND3_1_pump_setStart,,,ND3_1_pump_failure,,,ND81_pump_stop
ND3_2_pump,N7_1_pump_work,C2_1_motor_start,ND3_2_pump_setStart,,,ND3_2_pump_failure,,,N31_1_pump_stop
ND3_3_pump,V3_1_motor_work,C2_2_motor_start,ND3_3_pump_setStart,,,ND3_3_pump_failure,,,N31_2_pump_stop
N5_1_pump,E30_1_motor_work,V2_1_motor_start,N5_1_pump_setStart,,,N5_1_pump_failure,,,N10_1_pump_stop
N6_1_pump,N10_1_pump_work,V2_2_motor_start,N6_1_pump_setStart,,,N6_1_pump_failure,,,N32_1_pump_stop
N7_1_pump,NM2_1_pump_work,N20_3_pump_start,N7_1_pump_setStart,,,N7_1_pump_failure,,,pump_paz_stop
V3_1_motor,EM2_1_motor_work,N20_4_pump_start,V3_1_motor_setStart,,,V3_1_motor_failure,,,N40_pump_stop
N8_1_pump,N31_2_pump_work,N10_1_pump_start,N8_1_pump_setStart,,,ND8_1_pump_failure,,,N43_pump_stop
ND8_1_pump,N32_2_pump_work,,NM2_1_pump_setStart,,,N10_1_pump_failure,,,NSO1_pump_stop
N10_1_pump,NM1_2_pump_work,,EM2_1_motor_setStart,,,NM2_1_pump_failure,,,H12_1_pump_stop
