RSU_7_id,RSU_7_work,RSU_7_start,RSU_7_setStart,RSU_7_stop,RSU_7_stop_post,RSU_7_failure,,," PAZ_7_stop"
N0_1_pump,N0_1_pump_work,N0_1_pump_failure,,N0_1_pump_setStart,,N0_1_pump_failure,,,N0_1_pump_stop
M003_motor,M003_motor_work,M003_motor_failure,,M003_motor_setStart,,M003_motor_failure,,,N0_2_pump_stop
M004_motor,M004_motor_work,M004_motor_failure,,M004_motor_setStart,,M004_motor_failure,,,N2_1_pump_stop
N0_2_pump,N0_2_pump_work,N0_2_pump_failure,,N0_2_pump_setStart,,N0_2_pump_failure,,,NOT_1_pump_stop
ND1_1_pump,ND1_2_pump_work,ND1_1_pump_failure,,ND1_1_pump_setStart,,ND2_1_pump_failure,,,NO1_pump_stop
ND1_2_pump,ND1_2_pump_work,ND1_2_pump_failure,,ND1_2_pump_setStart,,ND2_2_pump_failure,,,NDG1_1_pump_stop
ND2_1_pump,Hot1_pump_work,ND2_1_pump_failure,,ND2_1_pump_setStart,,Hot1_pump_failure,,,N5_1_pump_stop
ND2_2_pump,,ND2_2_pump_failure,,ND2_2_pump_setStart,,ND3_1_pump_failure,,,N6_2_pump_stop
Hot1_pump,Hot1_pump_work,Hot1_pump_failure,,Hot1_pump_setStart,,ND3_2_pump_failure,,,ND7_1_pump_stop
ND3_1_pump,ND3_3_pump_work,ND3_1_pump_failure,,ND3_1_pump_setStart,,ND3_3_pump_failure,,,ND81_pump_stop
ND3_2_pump,N5_1_pump_work,ND3_2_pump_failure,,ND3_2_pump_setStart,,NP9_pump_failure,,,N31_1_pump_stop
ND3_3_pump,N5_1_pump_work,ND3_3_pump_failure,,ND3_3_pump_setStart,,N5_1_pump_failure,,,N31_2_pump_stop
N5_1_pump,N6_1_pump_work,N5_1_pump_failure,,N5_1_pump_setStart,,N6_1_pump_failure,,,N10_1_pump_stop
N6_1_pump,N7_1_pump_work,N6_1_pump_failure,,N6_1_pump_setStart,,N7_1_pump_failure,,,N32_1_pump_stop
N7_1_pump,V3_1_motor_work,N7_1_pump_failure,,N7_1_pump_setStart,,V3_1_motor_failure,,,pump_paz_stop
