Заводской номер,Проектная позиция,Название изделия,Ген. план,Название размещения
100,7-ШУ-РСУ,Шкаф управления,ГП7,Электропомещение
101,7-ШС1.1,Шкаф распределительный,ГП7,Узел приема и усреднения жидких отходов
102,7-ШС2.1,Шкаф распределительный,ГП7,Узел реагентной обработки и осветления методом отстаивания (модуль 1)
103,7-ШС3.1,Шкаф распределительный,ГП7,Узел фильтров с зернистой загрузкой ФЗ 1/1-6
104,7-ШС4.1,Шкаф распределительный,ГП7,Узел ОММ 1/1
105,7-ШС5.1,Шкаф распределительный,ГП7,Узел ОММ 2/1
106,7-ШС6.1,Шкаф распределительный,ГП7,Узел ОММ 3/1
107,7-ШС7.1,Шкаф распределительный,ГП7,Узел ОММ 4/1
108,7-ШС8.1,Шкаф распределительный,ГП7,Узел окисления по методу Фентона. Узел электрофлотодеструкции (модуль 1)
109,7-ШС9.1,Шкаф распределительный,ГП7,Узел ОММ 5/1
110,7-ШС10.1,Шкаф распределительный,ГП7,Узел сорбционной очистки в адсорберах I ступени. Узел ионного обмена (модуль 1)
111,7-ШС11.1,Шкаф распределительный,ГП7,Узел сорбционной очистки в адсорберах II ступени. Узел обеззараживания путем ультрафиолетового облучения (модуль 1)
112,7-ШС12.1,Шкаф распределительный,ГП7,"Узел выпаривания солевого концентрата (поз. Е30/1-Е33/1, Ем7)"
113,7-ШС13.1,Шкаф распределительный,ГП7,Узел реагентной обработки и осветления методом отстаивания (модуль 2)
114,7-ШС14.1,Шкаф распределительный,ГП7,Узел фильтров с зернистой загрузкой ФЗ 1/7-12
115,7-ШС15.1,Шкаф распределительный,ГП7,Узел ОММ 1/2
116,7-ШС16.1,Шкаф распределительный,ГП7,Узел ОММ 2/2
117,7-ШС17.1,Шкаф распределительный,ГП7,Узел ОММ 3/2
118,7-ШС18.1,Шкаф распределительный,ГП7,Узел ОММ 4/2
119,7-ШС19.1,Шкаф распределительный,ГП7,Узел окисления по методу Фентона. Узел электрофлотодеструкции (модуль 2)
120,7-ШС20.1,Шкаф распределительный,ГП7,Узел ОММ 5/2
121,7-ШС21.1,Шкаф распределительный,ГП7,"Узел сорбционной очистки в адсорберах I ступени.
Узел ионного обмена (модуль 2)"
122,7-ШС22.1,Шкаф распределительный,ГП7,"Узел сорбционной очистки в адсорберах II ступени.
Узел обеззараживания путем ультрафиолетового облучения (модуль 2)"
123,7-ШС23.1,Шкаф распределительный,ГП7,Узел выпаривания солевого концентрата (поз. Е30/2-Е33/2)
124,7-ШС24.1,Шкаф распределительный,ГП7,"Узел реагентного хозяйства.
Узел приема 40%-го раствора хлорного железа"
125,7-ШС25.1,Шкаф распределительный,ГП7,Узел реагентного хозяйства. Приготовление моющего раствора триполифосфата натрия. Приготовление моющего раствора лимонной кислоты
126,12-ШУ-РСУ,Шкаф управления,ГП12,Электропомещение
127,12-ШС1.1,Шкаф распределительный,ГП12,Узел дозирования 19% раствора гипохлорита натрия
128,12-ШС2.1,Шкаф распределительный,ГП12,
129,12-ШС3.1,Шкаф распределительный,ГП12,Узел УФ-обеззараживания УФС4
130,12-ШС14.1,Шкаф распределительный,ГП12,
131,12-ШС15.1,Шкаф распределительный,ГП12,
132,12-ШС27.1,Шкаф распределительный,ГП12,
133,12-ШС28.1,Шкаф распределительный,ГП12,
134,7-ПАЗ.1,Шкаф распределительный,ГП7,
135,7-ПАЗ.2,Шкаф распределительный,ГП7,
136,7-ПАЗ.3,Шкаф распределительный,ГП7,
137,12-ПАЗ,Шкаф управления,ГП12,
NA,ТШ-03,Сервер АСУТП,ГП3,
NA,АРМ ГП7,АРМ оператора ГП7,ГП7,
NA,АРМ ГП12,АРМ оператора ГП12,ГП12,
NA,АРМ ГП3,АРМ диспетчера ГП3,ГП3,
NA,ИС,Инженерная станция,,
