Кабель,От позиция,Каб. ввод,До позиции,Каб. ввод,"Марка кабеля, количество жил, сечение","Длина,",Тип,"Длина,",Тип сигнала
C-LS2L29,LS-2L29,"М20х1,5",7-ШС1.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",65,"РЗ-ЦХ-20
 Ц-20х2,8","2
 5",DI
C-LS2L27,LS-2L27,"М20х1,5",7-ШС1.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",40,РЗ-ЦХ-20,2,DI
C-2kshe10-1,2кшэ10,"М20х1,5",7-ШС1.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",65,"РЗ-ЦХ-15
 Ц-15х2,8","2
 6",DO
C-2kshe10-2,2кшэ10,"М20х1,5",7-ШС1.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",65,"РЗ-ЦХ-20
 Ц-20х2,8","2
6",DI
C-2kshe135-1,2кшэ135,"М20х1,5",7-ШС1.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",45,РЗ-ЦХ-15,2,DO
C-2kshe135-2,2кшэ135,"М20х1,5",7-ШС1.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",45,РЗ-ЦХ-20,2,DI
C-2zpe105-1,2зпэ105,"М20х1,5",7-ШС1.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",40,РЗ-ЦХ-15,1,DO
C-2zpe105-2,2зпэ105,"М20х1,5",7-ШС1.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",40,РЗ-ЦХ-20,1,DI
C-2zpe40-1,2зпэ40,"М20х1,5",7-ШС1.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",40,РЗ-ЦХ-15,1,DO
C-2zpe40-2,2зпэ40,"М20х1,5",7-ШС1.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",40,РЗ-ЦХ-20,1,DI
C-2kshe15-1,2кшэ15,"М20х1,5",7-ШС1.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",45,РЗ-ЦХ-15,1,DO
C-2kshe15-2,2кшэ15,"М20х1,5",7-ШС1.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",45,РЗ-ЦХ-20,1,DI
C-2zpe117-1,2зпэ117,"М20х1,5",7-ШС1.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",50,РЗ-ЦХ-15,1,DO
C-2zpe117-2,2зпэ117,"М20х1,5",7-ШС1.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",50,РЗ-ЦХ-20,1,DI
