id,Название документа,Номер документа,Тип,Общее количество сигналов,Кол-во сигналов подписано,Подписант Адвенга,Дата подписания,Приоритет,Статус,Изделие АСУТП,Полевой уровень,,,Замечания,,Комментарий
,,,,,,,,,,Позиция,Проектная позиция,Название,Дополнительная информация,Внутрениие,Внешние,
1,Протокол проверки дискретных входных сигналов,0101.ПД.0001,DI,0,,,,,Не начат,7-ШС1.1,ГП7,Узел приема и усреднения жидких отходов,,,,
2,Протокол проверки дискретных выходных сигналов,0101.ПД.0002,DQ,62,,,,,Не начат,7-ШС1.1,ГП7,Узел приема и усреднения жидких отходов,,,,
3,Протокол проверки аналоговых входных сигналов,0101.ПД.0003,AI,6,,,,,Не начат,7-ШС1.1,ГП7,Узел приема и усреднения жидких отходов,,,,
4,Протокол проверки дискретных входных сигналов,0101.ПД.0004,DI,40,,,,,Не начат,7-ШС2.1,ГП7,"Узел реагентной обработки и осветления методом
отстаивания (модуль 1)",,,,
5,Протокол проверки дискретных выходных сигналов,0101.ПД.0005,DQ,29,,,,,Не начат,7-ШС2.1,ГП7,"Узел реагентной обработки и осветления методом
отстаивания (модуль 1)",,,,
6,Протокол проверки аналоговых входных сигналов,0101.ПД.0006,AI,8,,,,,Не начат,7-ШС2.1,ГП7,"Узел реагентной обработки и осветления методом
отстаивания (модуль 1)",,,,
7,Протокол проверки аналоговых выходных сигналов,0101.ПД.0007,AQ,6,,,,,Не начат,7-ШС2.1,ГП7,"Узел реагентной обработки и осветления методом
отстаивания (модуль 1)",,,,
8,Протокол проверки дискретных входных сигналов,0101.ПД.0008,DI,90,,,,,Не начат,7-ШС3.1,ГП7,Узел фильтров с зернистой загрузкой ФЗ 1/1-6,,,,
9,Протокол проверки дискретных выходных сигналов,0101.ПД.0009,DQ,85,,,,,Не начат,7-ШС3.1,ГП7,Узел фильтров с зернистой загрузкой ФЗ 1/1-6,,,,
10,Протокол проверки аналоговых входных сигналов,0101.ПД.0010,AI,10,,,,,Не начат,7-ШС3.1,ГП7,Узел фильтров с зернистой загрузкой ФЗ 1/1-6,,,,
11,Протокол проверки аналоговых выходных сигналов,0101.ПД.0011,AQ,1,,,,,Не начат,7-ШС3.1,ГП7,Узел фильтров с зернистой загрузкой ФЗ 1/1-6,,,,
12,Протокол проверки дискретных входных сигналов,0101.ПД.0012,DI,29,,,,,Не начат,7-ШС4.1,ГП7,Узел ОММ 1/1,,,,
13,Протокол проверки дискретных выходных сигналов,0101.ПД.0013,DQ,29,,,,,Не начат,7-ШС4.1,ГП7,Узел ОММ 1/1,,,,
14,Протокол проверки аналоговых входных сигналов,0101.ПД.0014,AI,18,,,,,Не начат,7-ШС4.1,ГП7,Узел ОММ 1/1,,,,
15,Протокол проверки аналоговых выходных сигналов,0101.ПД.0015,AQ,4,,,,,Не начат,7-ШС4.1,ГП7,Узел ОММ 1/1,,,,
16,Протокол проверки дискретных входных сигналов,0101.ПД.0016,DI,33,,,,,Не начат,7-ШС5.1,ГП7,Узел ОММ 2/1,,,,
17,Протокол проверки дискретных выходных сигналов,0101.ПД.0017,DQ,28,,,,,Не начат,7-ШС5.1,ГП7,Узел ОММ 2/1,,,,
18,Протокол проверки аналоговых входных сигналов,0101.ПД.0018,AI,12,,,,,Не начат,7-ШС5.1,ГП7,Узел ОММ 2/1,,,,
19,Протокол проверки аналоговых выходных сигналов,0101.ПД.0019,AQ,2,,,,,Не начат,7-ШС5.1,ГП7,Узел ОММ 2/1,,,,
20,Протокол проверки дискретных входных сигналов,0101.ПД.0020,DI,29,,,,,Не начат,7-ШС6.1,ГП7,Узел ОММ 3/1,,,,
21,Протокол проверки дискретных выходных сигналов,0101.ПД.0021,DQ,24,,,,,Не начат,7-ШС6.1,ГП7,Узел ОММ 3/1,,,,
22,Протокол проверки аналоговых входных сигналов,0101.ПД.0022,AI,14,,,,,Не начат,7-ШС6.1,ГП7,Узел ОММ 3/1,,,,
23,Протокол проверки аналоговых выходных сигналов,0101.ПД.0023,AQ,2,,,,,Не начат,7-ШС6.1,ГП7,Узел ОММ 3/1,,,,
24,Протокол проверки дискретных входных сигналов,0101.ПД.0024,DI,35,,,,,Не начат,7-ШС7.1,ГП7,Узел ОММ 4/1,,,,
25,Протокол проверки дискретных выходных сигналов,0101.ПД.0025,DQ,29,,,,,Не начат,7-ШС7.1,ГП7,Узел ОММ 4/1,,,,
26,Протокол проверки аналоговых входных сигналов,0101.ПД.0026,AI,14,,,,,Не начат,7-ШС7.1,ГП7,Узел ОММ 4/1,,,,
27,Протокол проверки аналоговых выходных сигналов,0101.ПД.0027,AQ,4,,,,,Не начат,7-ШС7.1,ГП7,Узел ОММ 4/1,,,,
28,Протокол проверки дискретных входных сигналов,0101.ПД.0028,DI,62,,,,,Не начат,7-ШС8.1,ГП7,"Узел окисления по методу Фентона. Узел
электрофлотодеструкции (модуль 1)",,,,
29,Протокол проверки дискретных выходных сигналов,0101.ПД.0029,DQ,36,,,,,Не начат,7-ШС8.1,ГП7,"Узел окисления по методу Фентона. Узел
электрофлотодеструкции (модуль 1)",,,,
30,Протокол проверки аналоговых входных сигналов,0101.ПД.0030,AI,19,,,,,Не начат,7-ШС8.1,ГП7,"Узел окисления по методу Фентона. Узел
электрофлотодеструкции (модуль 1)",,,,
31,Протокол проверки аналоговых выходных сигналов,0101.ПД.0031,AQ,5,,,,,Не начат,7-ШС8.1,ГП7,"Узел окисления по методу Фентона. Узел
электрофлотодеструкции (модуль 1)",,,,
32,Протокол проверки дискретных входных сигналов,0101.ПД.0032,DI,27,,,,,Не начат,7-ШС9.1,ГП7,Узел ОММ 5/1,,,,
33,Протокол проверки дискретных выходных сигналов,0101.ПД.0033,DQ,24,,,,,Не начат,7-ШС9.1,ГП7,Узел ОММ 5/1,,,,
34,Протокол проверки аналоговых входных сигналов,0101.ПД.0034,AI,16,,,,,Не начат,7-ШС9.1,ГП7,Узел ОММ 5/1,,,,
35,Протокол проверки аналоговых выходных сигналов,0101.ПД.0035,AQ,2,,,,,Не начат,7-ШС9.1,ГП7,Узел ОММ 5/1,,,,
36,Протокол проверки дискретных входных сигналов,0101.ПД.0036,DI,56,,,,,Не начат,7-ШС10.1,ГП7,"Узел сорбционной очистки в адсорберах I ступени.
Узел ионного обмена (модуль 1)",,,,
37,Протокол проверки дискретных выходных сигналов,0101.ПД.0037,DQ,53,,,,,Не начат,7-ШС10.1,ГП7,"Узел сорбционной очистки в адсорберах I ступени.
Узел ионного обмена (модуль 1)",,,,
38,Протокол проверки аналоговых входных сигналов,0101.ПД.0038,AI,7,,,,,Не начат,7-ШС10.1,ГП7,"Узел сорбционной очистки в адсорберах I ступени.
Узел ионного обмена (модуль 1)",,,,
39,Протокол проверки аналоговых выходных сигналов,0101.ПД.0039,AQ,3,,,,,Не начат,7-ШС10.1,ГП7,"Узел сорбционной очистки в адсорберах I ступени.
Узел ионного обмена (модуль 1)",,,,
40,Протокол проверки дискретных входных сигналов,0101.ПД.0040,DI,62,,,,,Не начат,7-ШС11.1,ГП7,Узел сорбционной очистки в адсорберах II ступени. Узел обеззараживания путем ультрафиолетового облучения (модуль 1),,,,
