Изделие,Этап,С6,Внутренний монтаж,СМР Кабели,,,СМР Проводники,,,,,ПНР (физические сигналы),,,,ПНР (интерфейсные сигналы),,,ПНР,МПУ (weintek)
,,,,Всего,Проложено (кол-во),Проложено %,Всего (кол-во),Подключено к шкафу %,Подключено в поле %,Проверено %,,Общее количество сигналов,Внутренняя проверка кол-во,Проверка сигналов под протокол кол-во,Проверка сигналов под протокол %,Общее количество сигналов,Внутренняя проверка кол-во,Проверка сигналов под протокол кол-во,"Алгоритмы
проверка %",
7-ШУ-РСУ,1,100,Актуальный,2,2,"100,0%",0,,,,,0,,0,,,,,0,Не используется
7-ШС1.1,,100,рабочая,58,52,"89,7%",196,"92,9%","92,9%","92,9%","546,00",126,,0,"0,00%",,,,0,Не используется
7-ШС2.1,,100,рабочая,30,25,"83,3%",162,"92,0%","92,0%","92,0%","447,00",86,30,0,"0,00%",,,,0,Не используется
7-ШС3.1,,100,Актуальный,68,60,"88,2%",403,"94,0%","94,0%","94,0%","1 137,00",197,,0,"0,00%",,,,0,Не используется
7-ШС13.1,,100,"V002
рабочая",29,26,"89,7%",162,"95,7%","95,7%","95,7%","465,00",82,31,0,"0,00%",,,,0,Не используется
7-ШС14.1,,100,Актуальный,63,57,"90,5%",380,"95,8%","95,8%","95,8%","1 092,00",187,,0,"0,00%",,,,0,Не используется
7-ПАЗ.1,,100,"V005, V006, V007",91,45,"49,5%",487,"4,7%","58,1%","0,0%","306,00",226,,0,"0,00%",,,,0,Не используется
7-ПАЗ.2,,100,"V005, V006",79,77,"97,5%",604,"0,0%","39,9%","0,0%","241,00",166,,0,"0,00%",,,,0,Не используется
7-ПАЗ.3,,100,Актуальный,71,68,"95,8%",663,"0,0%","32,9%","0,0%","218,00",180," ",0,"0,00%",,,,0,Не используется
7-ШС24.1,,100,Актуальный,52,50,"96,2%",297,"97,3%","79,1%","79,1%","759,00",140,25,97,"69,29%",,,,0,Не используется
7-ШС25.1,,100,Актуальный,22,22,"100,0%",174,"100,0%","93,1%","93,1%",498,87,,38,"43,68%",,,,0,Не используется
7-ШС4.1,2,100,Актуальный,21,21,"100,0%",170,"100,0%","100,0%","0,0%",340,83,,0,"0,00%",,,,0,Отрисована мнемосхема
7-ШС15.1,,100,"V004
Рабочая",23,23,"100,0%",174,"100,0%","96,6%","0,0%",342,88,,0,"0,00%",,,,0,Отрисована мнемосхема
7-ШС5.1,3,100,V005,26,25,"96,2%",162,"97,5%","92,0%","1,2%",309,76," ",0,"0,00%",,,,0,Отрисована мнемосхема
7-ШС16.1,,100,"V003
Рабочая",22,2,"9,1%",148,"0,0%","0,0%","0,0%",0,74,,0,"0,00%",,,,0,Отрисована мнемосхема
7-ШС8.1,4,90,"V003
Рабочая",30,28,"93,3%",274,"96,0%","17,2%","0,7%",312,134,,0,"0,00%",,,,0,Отрисована мнемосхема
7-ШС19.1,,100,рабочая,31,29,"93,5%",284,"97,2%","62,0%","0,7%",454,133,,0,"0,00%",,,,0,Отрисована мнемосхема
7-ШС9.1,5,95,"V002, V003",24,22,"91,7%",163,"93,9%","93,9%","1,2%",308,74,,0,"0,00%",,,,0,Отрисована мнемосхема
7-ШС10.1,,100,Актуальный,42,42,"100,0%",242,"97,5%","94,2%","0,0%",464,120,,0,"0,00%",,,,0,Отрисована мнемосхема
7-ШС11.1,,100,рабочая,53,4,"7,5%",286,"0,7%","72,4%","0,7%",211,141,,0,"0,00%",,,,0,Не используется
7-ШС20.1,,100,V002,24,24,"100,0%",153,"100,0%","28,1%","1,3%",198,73,,0,"0,00%",,,,0,Отрисована мнемосхема
7-ШС21.1,,100,V002,44,40,"90,9%",251,"0,8%","0,8%","0,8%",6,116,,0,"0,00%",,,,0,Не используется
7-ШС22.1,,100,V002,51,51,"100,0%",280,"100,0%","73,9%","0,7%",489,138,,0,"0,00%",,,,0,Не используется
7-ШС6.1,6,100,V003,23,23,"100,0%",141,"100,0%","0,0%","0,0%",141,71,,0,"0,00%",,,,0,Отрисована мнемосхема
7-ШС7.1,,100,"V003
Рабочая",26,26,"100,0%",166,"100,0%","1,8%","0,0%",169,88,,0,"0,00%",,,,0,Отрисована мнемосхема
7-ШС12.1,,70,V004,28,4,"14,3%",380,"0,5%","0,5%","0,5%",6,215,,0,"0,00%",,,,0,Отрисована мнемосхема
