id,титул,Название узла,Лист ТХ,P&ID от АСП_АКВА от 24.01.2024,Название подузла,ЛСУ,Документы с описанием алгоритмов,ПБ
1,7,Узел флотации,2.1,лист 2.1,Дренажный приямок П2,,нет,
2,7,Узел флотации,2.1,лист 2.1,Флотатор Ф1,ЛСУ,ПВО_АКВА-05.23-059,
3,7,Узел флотации,2.1,лист 2.1,Флотатор Ф2,ЛСУ,ПВО_АКВА-05.23-059,
4,7,Узел приема и усреднения жидких отходов,2.2,лист 2.2,,,ОПИСАНИЕ АЛГОРИТМОВ РАБОТЫ УЗЛА 18.09.2023,
5,7,Узел реагентной обработки и осветления методом отстаивания (модуль1),2.3,лист 2.3,,,"ПВО_АКВА-05.23-058, ПВО_АКВА-05.23-049",
6,7,Узел обезвоживания осадка (модуль1),2.4,лист 2.4,Узел обезвоживания,ЛСУ,,
7,7,Узел обезвоживания осадка (модуль1),2.4,лист 2.4,Дренажный приямок П13,,нет,
8,7,Узел фильтров с зернистой загрузкой ФЗ 1/1-6,3,лист 3,,,Узлы фильтрации_ФЗ и АД. Алгортмы ФЗ_заготовка_r3,
9,7,Узел ОММ 1/1,4,лист 4,,,Осмоса,
10,7,Узел ОММ 2/1,5,лист 5,,,Осмоса,
11,7,Узел ОММ  3/1,6,лист 6,,,Осмоса,
12,7,Узел ОММ 4/1,7,лист 7,,,Осмоса,
13,7,Узел окисления по методу Фентона,8,лист 8,,,Фентон. Предварительный алгоритм_07_09_2023,
14,7,Узел электрофлотодеструкции,8,лист 8,,,Фентон. л.1 Описание алгоритмов работы автоматики узлов ЭФД и Е20 15-08-23,
15,7,Узел ОММ 5/1,9,лист 9,,,Осмоса,
16,7,Узел сорбционной очистки в адсорберах I ступени. Узел ионного обмена (модуль 1),10,лист 10,,,Узлы фильтрации_ФЗ и АД. Алгортмы АД1 и ИО1_заготовка_r2,
17,7,Узел сорбционной очистки в адсорберах II ступени. Узел обеззараживания путем ультрафиолетового излучения (модуль 1),11,лист 11,,,Узлы фильтрации_ФЗ и АД. Алгортмы АД2_заготовка_r2,
18,7,"Узел выпаривания солевого концентрата (поз.Е30/1-Е33/1, Ем7)",12.1,лист 12.1,,,Установка выпарки. Аква ПБ,
19,7,"Узел выпаривания солевого концентрата (поз.ГК1/1-2, С1/1, ТК1/1, Т4/1, Ед1/1)",12.2,лист 12.2,,,Установка выпарки. Аква ПБ,
20,7,Узел выпаривания солевого концентрата (поз.Екц1/1-2),12.3,лист 12.3,,,Установка выпарки. Аква ПБ,
21,7,Узел реагентной обработки и осветления методом отстаивания) (модуль2),13,лист 13,,,Тоже самое модуль 1,
22,7,Узел обезвоживания осадка (2модуль),14,лист 14,,,Тоже самое модуль 1,
23,7,Узел фильтров с зернистой загрузкой ФЗ 1/7-12,14,лист 14,,,Тоже самое модуль 1,
24,7,Узел ОММ 1/2,15,лист 15,,,Тоже самое модуль 1,
25,7,Узел ОММ 2/2,16,лист 16,,,Тоже самое модуль 1,
26,7,Узел ОММ  3/2,17,лист 17,,,Тоже самое модуль 1,
27,7,Узел ОММ 4/2,18,лист 18,,,Тоже самое модуль 1,
28,7,Узел окисления по методу Фентона. Узел электрофлотодеструкции (модуль 2),19,,,,Тоже самое модуль 1,
29,7,Узел ОММ 5/2,20,,,,Тоже самое модуль 1,
30,7,Узел сорбционной очистки в адсорберах I ступени. Узел ионного обмена (модуль 2),21,,,,Тоже самое модуль 1,
31,7,Узел выпаривания солевого концентрата (поз.Е30/2-Е33/2),23.1,,,,Тоже самое модуль 1,
32,7,"Узел выпаривания солевого концентрата (поз.ГК1/1-2, С1/1, ТК1/1, Т4/1, Ед1/1)",23.2,,,,Тоже самое модуль 1,
33,7,Узел выпаривания солевого концентрата (поз.Екц1/1-2),23.3,,,,Тоже самое модуль 1,
34,7,Узел реагентного хозяйства. Узел хранения и раздачи 35% раствора перекиси водорода,24.1,,,,Реагентное хоз-во. ,
35,7,Узел реагентного хозяйства. Узел хранения и раздачи 40%-го раствора щелочи,24.2,,,,Реагентное хоз-во. ,
36,7,Узел реагентного хозяйства. Узел приема 40%-го хлорного железа,24.3,,,,Реагентное хоз-во. ,
37,7,Узел реагентного хозяйства. Узел приготовления 10%-го раствора хлорного железа,24.4,,,,Реагентное хоз-во. ,
38,7,"Узел реагентного хозяйства. Узел приготовления 0,1%-го раствора флокулянта",24.5,,,,Реагентное хоз-во. ,
39,7,Узел реагентного хозяйства. Узел приготовления 5%-го раствора сернокислого железа,24.6,,,,Реагентное хоз-во. ,
40,7,Узел реагентного хозяйства. Узел приготовления ингибитора,24.7,,,,Реагентное хоз-во. ,
41,7,Узел реагентного хозяйства. Узел приготовления 14% раствора серной кислоты,24.8,,,,Реагентное хоз-во. ,
42,7,Узел реагентного хозяйства. Подготовка сжатого воздуха,24.10,,,,Реагентное хоз-во. ,
43,7,Дренажные приямки П9-П12,25,,,,Реагентное хоз-во. ,
